object_id	trip_id
16.184.150-1	IIC168
6.557.798-4	IIC015
19.297.224-8	IIC049
18.819.047-2	IIC03D
17.212.372-4	IIC126
12.083.436-3	IIC093
11.230.748-6	TPT10F
10.138.257-5	IIC207
5.224.269-k	IIC067
19.754.109-1	IIC161
7.304.361-1	IIC181
15.093.809-k	IIC137
16.651.028-7	IIC165
16.279.567-8	IIC161
8.158.118-5	IIC174
8.212.285-k	IIC115
19.976.104-8	IIC207
18.555.045-1	IIC144
5.679.069-1	IIC012 IIC011
17.744.613-k	IIC195
8.818.696-6	IIC094
15.834.106-9	IIC204
15.877.549-2	TPT035 TPT036
14.530.854-2	IIC183
20.497.908-1	IIC163
12.605.031-3	IIC181
15.109.274-8	IIC136
16.231.813-6	IIC06C
14.988.369-k	IIC05B
6.907.702-1	IIC047
11.147.861-9	IIC01E
15.721.284-2	IIC191
8.616.556-2	IIC105
11.653.155-k	TPT137 IIC01F
7.435.529-3	IIC161
13.876.868-6	IIC115
12.969.751-2	IIC121
18.296.054-3	IIC094
18.401.459-9	IIC04B IIC04C
6.761.932-3	IIC117
8.035.834-2	IIC11B
5.894.215-4	IIC162
14.922.723-7	TPT078
16.890.061-9	IIC128
20.492.662-k	TPT08F TPT08G
9.874.400-2	IIC097
14.941.422-3	IIC03G
6.995.946-6	IIC03E
14.037.523-3	IIC201
10.502.189-5	IIC191
10.174.008-k	IIC11A
5.266.989-8	IIC191
16.026.773-9	IIC112
17.494.262-5	TPT124
12.982.994-k	IIC018
18.480.795-5	IIC144
8.591.104-k	IIC166
11.151.954-4	IIC06B
9.130.666-2	IIC172
20.412.381-k	IIC05C
7.505.743-1	TPT136
19.784.775-1	IIC214
10.399.175-7	IIC068
20.785.696-7	TPT06B
12.666.762-k	IIC204
9.909.169-k	IIC152
13.551.118-8	IIC06D
8.458.474-6	IIC076
13.315.603-8	IIC053
7.971.317-1	IIC032
10.317.950-5	IIC111
7.726.512-k	IIC08C
17.014.308-6	IIC117
10.494.543-k	IIC06E
6.590.733-k	IIC215
21.809.569-k	IIC174
16.161.444-k	IIC11G
20.200.471-7	IIC033
17.331.215-6	IIC135
16.980.661-6	TPT064
16.937.900-9	IIC166
10.140.156-1	IIC03G
8.621.868-2	IIC07A
17.523.523-k	IIC06E
9.663.545-1	TPT128
7.011.976-5	IIC206
19.855.985-7	IIC093
19.503.873-2	IIC173
10.012.634-6	IIC081
21.425.989-3	TPT039 TPT038
9.162.247-5	IIC075
6.056.566-k	IIC061
19.352.761-2	IIC194
11.004.610-3	IIC104
21.741.468-7	IIC205
11.773.102-2	IIC059
21.060.898-2	IIC06E
10.885.363-8	IIC218
20.985.635-2	IIC166
20.119.656-6	IIC163
6.620.530-4	IIC05E
19.923.324-6	IIC173
16.664.848-3	IIC08D
8.721.345-5	IIC037
14.227.383-7	IIC09E
6.111.174-3	IIC075
10.269.217-9	IIC073
21.117.661-k	IIC07G
13.280.069-3	IIC06F
16.347.529-4	TPT06G TPT06F
21.288.269-k	IIC122
14.911.031-3	IIC135
7.391.275-k	IIC132 IIC133
5.732.322-1	IIC122
11.890.722-1	IIC181
11.314.442-4	IIC07B
19.307.626-2	IIC131
21.573.769-1	IIC097
12.458.910-k	IIC117
14.243.170-k	IIC077
19.633.878-k	IIC202
11.456.728-k	IIC063
12.455.045-9	IIC041
18.246.504-6	IIC211
15.816.280-6	IIC135
9.065.353-9	TPT022 TPT023 TPT021
21.167.808-9	IIC215
14.715.468-2	IIC211
21.123.525-k	IIC051
17.456.185-k	IIC184
12.082.435-k	IIC123
6.951.045-k	IIC152
20.137.418-9	IIC031
20.205.218-5	IIC05G
8.478.328-5	IIC079
7.187.105-3	IIC11D
17.000.546-5	IIC072
18.418.547-4	TPT02M
20.389.981-5	IIC043
5.638.069-8	IIC167
8.620.721-4	IIC178
14.790.057-k	IIC06F
6.921.298-k	IIC133
21.789.774-2	IIC11A
13.804.666-4	IIC143
9.119.692-1	IIC181
7.067.820-9	IIC066
16.585.503-5	IIC168
12.864.512-8	IIC02E
6.867.255-4	IIC138
13.726.158-8	TPT138
18.198.772-3	IIC151
8.804.928-4	IIC11G
5.388.408-3	IIC06B
19.473.204-k	IIC218
17.033.468-k	IIC193
11.816.714-7	IIC014
16.277.163-9	IIC151
12.357.540-7	IIC177
10.731.876-3	IIC027
19.234.497-2	IIC203
8.845.646-7	TPT101
9.103.357-7	IIC133
9.689.737-5	IIC152 IIC096
14.793.846-2	IIC192
9.849.574-6	IIC216
21.756.814-5	IIC131
5.461.223-k	IIC202
7.869.902-7	IIC211
14.966.547-1	IIC082
12.773.638-3	IIC171
14.806.807-k	IIC192
20.128.577-1	IIC207
14.291.336-4	IIC153
17.645.582-9	IIC06D
21.726.316-6	IIC172
6.788.072-2	IIC087 IIC141
6.520.333-2	IIC183
20.508.511-4	IIC016
7.148.148-4	IIC173
7.284.734-2	IIC01C
15.489.258-3	IIC01B
20.725.945-4	IIC061
18.599.692-1	TPT096 IIC04C
11.449.398-8	IIC118
13.365.967-6	TPT02M TPT02O TPT02N
7.675.488-8	IIC057
9.921.398-1	IIC124
20.685.569-k	IIC128
14.569.282-2	IIC062
19.060.858-1	IIC022
14.620.490-2	TPT105
7.656.782-4	IIC213 IIC112
10.175.723-4	IIC153
18.674.862-k	IIC11G
10.050.183-k	TPT06A
12.135.406-3	IIC063
19.826.367-2	IIC136 IIC137
9.226.457-2	IIC121
10.946.676-k	IIC067
20.316.097-6	IIC143
6.556.990-6	IIC217
15.338.558-k	IIC205
6.162.736-7	IIC176
21.053.964-6	IIC204 IIC205
12.244.252-7	IIC06F
21.443.833-k	IIC198
16.653.088-1	TPT02F
13.771.389-6	IIC211
20.515.501-5	IIC128
14.847.004-9	IIC061
15.276.366-2	IIC122
6.936.948-k	IIC138
7.866.319-7	IIC051
7.485.620-9	IIC181
14.041.570-7	IIC214
9.846.522-7	IIC051
5.312.641-3	IIC037
21.056.047-5	IIC172
21.243.768-9	IIC183
6.505.329-2	IIC133
14.339.522-7	IIC01A
9.307.867-5	IIC121
12.778.117-6	IIC191
20.709.695-4	IIC196
19.543.413-1	IIC08D
16.355.171-3	IIC029
11.823.590-8	IIC04C
6.199.589-7	IIC123
20.285.962-3	IIC165
11.107.443-7	IIC066
6.259.480-2	IIC048
10.719.511-4	IIC142
8.250.072-3	IIC212
7.283.935-8	IIC205
18.391.224-k	IIC11F
9.709.150-1	IIC02B
20.682.430-1	IIC198
9.610.760-9	IIC177
9.254.192-4	IIC121
8.181.733-2	IIC154
16.921.181-7	IIC211
21.014.896-5	IIC205
20.099.080-3	TPT091
8.028.964-2	IIC164
11.485.984-2	IIC194
8.426.316-8	IIC203
18.516.682-1	IIC055
11.742.020-5	IIC171
16.744.576-4	IIC012
16.293.494-5	IIC217 IIC216
17.255.912-3	TPT086
17.864.282-k	IIC044
12.614.595-k	IIC03G
16.996.843-8	IIC198
18.984.103-5	TPT097
14.665.659-5	IIC011
21.457.372-5	IIC05F
14.425.155-5	IIC163
16.938.284-k	IIC153 IIC09F
6.176.570-k	IIC203
15.106.338-1	TPT098
5.115.301-4	TPT08G
19.611.360-6	IIC212
21.949.114-k	IIC043 IIC044
18.770.113-9	TPT019
21.879.772-5	IIC08B
5.099.712-k	IIC152 IIC098
6.054.931-1	IIC089
20.099.659-3	IIC218
11.719.888-k	IIC044
15.796.475-5	IIC163
15.057.186-3	IIC048
18.321.246-k	IIC142
8.901.908-7	IIC082
17.584.503-8	IIC216
14.577.865-4	TPT068
21.563.876-6	IIC11D
14.092.308-7	TPT093
14.784.794-7	IIC05F
7.703.070-k	IIC162
5.300.843-7	TPT074
18.383.123-2	IIC122
14.297.273-5	IIC171
20.191.428-k	IIC11B
15.357.749-8	TPT136
21.541.892-8	IIC192
19.949.144-k	IIC132
14.878.853-7	IIC154
8.336.750-4	IIC202
21.078.292-3	IIC038
18.875.160-1	IIC121
14.074.091-8	IIC11G
12.113.847-6	IIC192
17.738.541-7	IIC117
19.530.736-9	TPT124
6.317.392-4	IIC211
16.812.633-6	IIC124
6.155.637-k	IIC218
20.163.466-k	TPT044
13.792.329-7	IIC173
5.058.486-k	IIC014
6.328.364-9	IIC203
5.681.323-3	IIC168
6.166.356-8	IIC172
17.447.966-6	IIC217 IIC216
15.306.887-9	IIC064
21.181.683-k	IIC07D
9.475.395-3	TPT02C
10.936.523-8	IIC151
11.638.140-k	IIC115
10.393.457-5	IIC07E
21.295.305-9	IIC04C
14.023.190-8	IIC168
14.131.461-k	IIC197
13.924.077-4	IIC192
6.736.391-4	IIC161
13.644.796-3	IIC034
21.461.710-2	IIC013
18.849.883-3	IIC122
17.500.456-4	IIC183
9.662.640-1	IIC084
20.619.639-4	IIC035
13.860.521-3	IIC111
10.319.529-2	IIC08F
13.243.855-2	IIC11G
21.394.744-3	IIC151
15.240.741-6	IIC11C
18.411.529-8	IIC08A
14.950.715-9	IIC03E
12.966.949-7	IIC168
9.292.958-2	IIC044
9.934.522-5	IIC051
17.552.558-k	IIC177
19.845.395-1	IIC048
5.807.720-8	IIC088
11.279.926-5	IIC02G
20.809.813-6	IIC213 IIC112
17.461.833-k	IIC05C
8.439.306-1	IIC119
9.038.261-6	IIC08E
9.548.353-4	IIC162
11.356.944-1	IIC01C
13.484.909-6	IIC154
12.526.156-6	IIC038
21.703.924-k	IIC09C
9.657.677-3	IIC196
10.982.099-7	TPT02H
21.952.193-6	IIC214
9.930.553-3	IIC08F
11.505.518-6	IIC106
7.303.845-6	IIC141
12.636.967-k	IIC211
11.033.536-9	IIC03G
6.756.302-6	IIC119
9.673.167-1	IIC03G
12.245.447-9	IIC178
19.407.849-8	IIC202
10.999.373-5	IIC154
13.236.857-k	IIC153
16.739.549-k	IIC053
5.240.257-3	IIC172
21.508.358-6	IIC217
19.961.205-k	IIC02A
6.912.618-9	IIC086
14.618.882-6	IIC168
5.654.204-3	IIC154 IIC09E
16.392.127-8	IIC215
13.888.592-5	TPT063
13.084.903-2	TPT098
18.809.773-1	IIC102
19.848.078-9	IIC088
8.447.681-1	TPT092
13.717.590-8	IIC031
8.369.138-7	TPT086
11.443.326-8	IIC178
12.408.428-8	IIC135
7.186.306-9	IIC184
5.537.738-3	IIC03G
17.083.173-k	IIC042
11.964.883-1	IIC164
14.395.570-2	IIC08G
20.724.731-6	IIC046
13.476.505-4	IIC01A
20.763.482-4	IIC11F
15.666.463-4	IIC07C
19.104.018-k	IIC152
21.615.236-k	IIC203
12.764.903-k	IIC137
17.646.980-3	IIC107
11.049.280-4	IIC203
9.323.528-2	IIC194
12.189.381-9	IIC122
16.962.044-k	IIC03F
20.544.768-7	IIC184
13.463.961-k	TPT116
20.373.579-k	IIC195
21.481.133-2	IIC168
19.222.059-9	IIC09A
8.291.754-3	TPT122
6.065.023-3	IIC176
17.608.417-k	IIC07F
11.873.977-9	IIC01G
11.037.727-4	IIC09F
19.698.365-1	IIC205
6.761.403-8	IIC215
9.125.369-k	IIC212
8.315.114-5	IIC197
16.558.106-7	IIC175
6.987.591-2	IIC049 IIC04A
11.049.126-3	IIC161
19.971.682-4	IIC042
7.995.102-1	IIC072
9.121.107-6	IIC198
21.981.939-k	IIC037
6.787.110-3	TPT018
12.069.957-1	IIC05G
9.667.430-9	IIC092
16.058.595-1	IIC138
13.115.218-3	IIC01G
19.924.156-7	IIC08F
18.425.743-2	IIC152
21.102.227-2	IIC052
8.659.363-7	IIC059
19.542.042-4	IIC137
17.105.131-2	IIC015
14.253.288-3	IIC032
21.804.574-k	IIC08C
13.846.107-6	IIC03G
18.548.650-8	TPT053
5.932.311-3	IIC064
5.391.466-7	IIC164
20.289.662-6	IIC024
15.331.686-4	IIC153 IIC09D
21.632.893-k	IIC131
18.266.900-8	IIC06B
21.634.074-4	IIC05D
14.715.519-k	TPT06E
11.886.087-k	IIC163
5.412.250-k	IIC09E
7.434.252-3	IIC127
20.333.649-7	IIC212
15.859.038-7	IIC09C
20.170.624-6	IIC071
9.232.663-2	TPT053
6.636.961-7	TPT071
11.178.475-2	IIC196
20.494.844-5	TPT042
16.343.947-6	TPT069
9.608.795-k	IIC204
18.159.691-k	IIC205
13.980.911-4	IIC123
19.951.935-2	IIC142
7.721.466-6	IIC172
15.880.416-6	IIC172
6.898.488-2	IIC166
7.755.194-8	IIC176
7.686.321-k	IIC053
17.794.241-3	IIC07E
21.472.124-4	IIC018
17.039.885-8	TPT029
19.049.748-8	IIC141
7.068.782-8	IIC068
6.622.540-2	IIC066
5.003.383-k	IIC09G
7.856.979-4	IIC196
10.453.436-8	IIC121
7.542.097-8	IIC037
9.803.646-6	IIC168
11.526.420-6	IIC172
7.578.769-3	IIC08C
12.187.118-1	IIC152
10.340.753-2	IIC115
20.082.948-4	IIC128
5.700.890-3	IIC087 IIC141
13.302.011-k	IIC203
12.161.863-k	IIC218
17.256.536-k	IIC059
15.417.718-3	IIC092
18.008.892-k	IIC03A
20.086.719-k	IIC061
11.002.397-9	IIC025
10.564.271-7	IIC124
18.343.954-5	IIC07B
17.935.023-8	IIC085 IIC141
17.621.087-7	IIC141
6.251.314-4	IIC193
7.957.308-6	IIC126
9.632.468-5	IIC088
21.010.490-9	IIC061
16.802.541-6	IIC163
16.090.271-k	IIC043
17.672.083-2	IIC195
15.220.618-6	IIC09C
10.808.922-9	IIC132
16.392.723-3	IIC172
20.479.513-4	IIC103
16.334.851-9	TPT08G
9.432.792-k	IIC09C
7.110.181-9	IIC06B
21.471.109-5	IIC02C
20.374.703-9	IIC01E
13.630.191-8	IIC09A
8.539.225-5	IIC048
14.269.893-5	TPT124
12.927.994-k	IIC027
10.575.375-6	IIC05B
15.572.709-8	IIC05D
16.502.737-k	IIC044
8.492.725-2	IIC177
16.929.764-9	IIC024
14.597.404-6	IIC134
7.759.830-8	IIC016
12.580.057-2	IIC06D
11.229.200-4	IIC028
9.820.217-k	IIC116
7.373.466-5	IIC044
14.360.364-4	IIC123
11.410.749-2	IIC054
17.812.335-1	IIC01B
9.928.725-k	IIC153
21.414.120-5	IIC062
15.651.829-8	IIC214
15.369.598-9	IIC03C
19.141.779-8	IIC06D
15.090.463-3	IIC168
19.063.920-7	IIC04A
8.647.286-4	IIC218
18.340.193-9	IIC028
8.495.872-7	IIC133
15.117.763-8	TPT083
19.427.488-2	IIC152
11.176.799-8	IIC06C
11.017.899-9	IIC161
16.686.484-4	IIC165
13.504.352-4	IIC163
15.553.732-9	IIC136
8.455.272-k	TPT010
10.327.592-k	IIC086 IIC142
14.587.519-6	IIC08B
9.050.042-2	IIC05D
19.096.201-6	IIC161
19.327.472-2	IIC208
9.171.643-7	IIC01C
7.253.108-6	IIC082
16.175.265-7	IIC208
8.254.729-k	IIC183
17.672.564-8	IIC132
21.804.771-8	IIC04E
7.879.809-2	IIC01A
21.034.234-6	IIC151
14.364.758-7	IIC04B
10.525.459-8	IIC127
15.413.342-9	IIC217
19.339.248-2	IIC033
21.562.773-k	TPT10F
9.536.395-4	IIC182
21.959.502-6	IIC205
13.561.396-7	IIC102
15.350.860-7	IIC128
7.345.014-4	IIC115
8.692.385-8	IIC201
9.772.831-3	IIC08G
7.349.470-2	IIC035
12.002.750-6	IIC04D IIC04E
11.876.172-3	IIC094
19.928.647-1	IIC121
16.610.209-k	IIC033
15.018.926-8	IIC171
11.959.886-9	IIC04D IIC04E
13.088.280-3	IIC195
6.337.840-2	IIC06C
9.928.438-2	IIC182
8.710.163-k	IIC05D
10.151.596-6	IIC197
17.315.646-4	IIC076
17.537.170-2	IIC096
5.513.681-5	IIC211
13.128.385-7	IIC196
12.567.119-5	IIC198
15.807.912-7	IIC116
11.312.668-k	IIC09G
9.762.076-8	IIC184
12.685.791-8	IIC136
18.084.642-5	IIC02F
19.646.467-k	IIC215
13.293.357-k	IIC163
15.368.881-8	IIC182
17.932.698-1	IIC087
20.114.167-2	IIC04E
17.108.757-k	IIC216
18.879.535-8	IIC163
6.425.693-9	IIC063
9.391.657-3	IIC04F
19.245.502-2	IIC217
12.515.714-9	IIC153
6.017.759-7	IIC021
15.808.197-k	IIC196
14.803.437-k	IIC202
10.112.610-2	IIC113
9.140.147-9	IIC035
21.065.466-6	IIC201
11.776.192-4	IIC122
20.440.853-k	IIC161
20.973.190-8	IIC217
10.600.872-8	IIC137
9.736.370-6	IIC04B
15.067.515-4	IIC131
10.108.058-7	IIC03B
11.227.932-6	IIC029
6.997.221-7	IIC08C
16.493.026-2	IIC123
16.909.605-8	TPT02K
21.992.543-3	IIC192
5.530.584-6	IIC181
15.689.288-2	IIC03E
12.058.234-8	IIC038
7.036.609-6	IIC05E
14.931.209-9	TPT06E
9.082.306-k	IIC121
20.472.607-8	IIC07B
16.706.789-1	IIC174
5.392.690-8	IIC04G
9.999.205-k	IIC173
18.075.637-k	IIC04F
20.925.275-9	IIC082
21.284.952-9	IIC056
19.107.191-3	IIC02D
11.210.093-8	IIC196
14.237.542-7	IIC214
20.483.376-1	IIC09D
6.877.687-2	IIC161
17.643.100-8	IIC128
6.114.921-k	IIC03C
18.050.565-2	IIC166
14.904.048-k	IIC081
5.882.746-k	IIC092
18.846.243-k	IIC207
7.331.261-2	IIC119
6.457.469-8	IIC013
12.404.151-1	TPT072
18.468.360-1	IIC214
6.659.678-8	IIC164
16.998.753-k	IIC01E
21.804.798-k	IIC124
16.049.048-9	IIC075
7.578.680-8	IIC11B IIC214
20.848.024-3	IIC113
15.203.734-1	IIC01G IIC01F
10.833.179-8	TPT028 TPT027
18.646.931-3	IIC203
14.173.676-k	IIC07C
7.880.616-8	IIC08D
6.541.599-2	IIC135
17.930.055-9	IIC123
5.156.257-7	IIC058
9.226.118-2	IIC121
19.095.619-9	IIC138
21.146.271-k	IIC196
14.518.487-8	IIC135
18.969.327-3	IIC131
8.513.724-7	IIC197
7.893.733-5	IIC035
12.314.633-6	IIC135
8.650.514-2	IIC115
11.457.683-2	IIC165
10.227.558-6	TPT02E
5.245.134-5	IIC176
7.288.020-k	IIC115
17.705.101-2	IIC113
8.207.395-7	IIC08A
14.991.078-6	IIC134
12.255.877-k	IIC052
13.448.211-7	IIC217 IIC216
6.593.469-8	IIC019
10.979.656-5	IIC115
12.220.194-5	IIC172
6.383.264-2	IIC182
13.435.830-k	IIC216
17.337.507-7	IIC08A
18.397.975-2	IIC028
19.974.949-8	IIC172
15.347.755-8	TPT02G
15.981.791-1	IIC191
9.317.429-1	IIC013 IIC014
15.347.548-2	IIC09F
19.334.813-k	IIC074
14.835.581-9	IIC218
18.997.521-k	IIC197
5.934.053-k	IIC132 IIC133
10.545.061-3	IIC04G
7.024.629-5	IIC042
14.072.127-1	IIC198
11.945.326-7	IIC144
15.958.096-2	IIC177
14.695.987-3	IIC073
17.902.545-k	IIC174
12.701.381-k	IIC194
19.457.095-3	IIC04E
11.581.515-6	IIC172
14.030.507-3	IIC196
15.948.676-1	IIC03A
14.206.246-1	IIC195
8.948.171-6	IIC078
15.693.417-8	IIC065
20.049.871-2	IIC213
12.140.667-5	IIC216
18.382.692-1	IIC122
9.017.696-k	IIC018
14.012.219-k	IIC178
21.323.562-1	IIC191
13.789.392-4	IIC177
17.818.824-k	IIC087
15.036.417-5	IIC019
14.580.246-6	IIC061
21.508.550-3	IIC037
16.026.471-3	IIC198
21.086.346-k	IIC019
17.284.323-9	IIC113
11.580.468-5	IIC137
5.483.146-3	IIC014
15.458.007-7	IIC115
21.235.271-3	IIC071
18.760.613-6	IIC08F
7.108.487-6	IIC04C
21.731.557-3	IIC137
18.646.983-6	IIC154
10.627.992-6	IIC081
15.476.044-k	IIC026
7.558.891-7	IIC06G
7.809.397-8	IIC152
5.109.711-4	IIC06D
12.394.589-1	IIC091
20.804.605-5	IIC11A
6.920.956-4	IIC171
9.726.480-5	IIC117
17.846.218-k	TPT08G
9.239.137-k	TPT08D
11.824.141-k	IIC191
14.295.190-8	IIC197
18.834.423-2	TPT024
20.593.029-9	IIC01A TPT136
14.487.879-5	IIC137
16.432.130-4	IIC205
19.061.456-5	IIC041
