name	lastname	rut
Alexandra	Fuentes	20.216.137-5
Maite	Bustos	8.773.164-2
Maria Jose	Jara	8.582.969-6
Ariana	Venegas	7.675.488-8
Catalina	Brown	10.151.596-6
Kamila	Navarro	12.246.442-3
Lily	Farias	12.476.606-k
Luis	Aravena	19.592.593-3
Sophie	Espinoza	6.068.644-k
Lautaro	Garrido	15.642.542-7
Gabriel	Orellana	13.707.958-5
Gabriel	Alvarez	13.293.357-k
Matias	Carvajal	13.204.243-8
Beatriz	Ramirez	16.512.758-7
Victoria	Venegas	19.601.767-4
Jose	Lopez	21.391.086-8
Samuel	Guzman	5.462.198-1
Alice	Lopez	17.729.517-5
Carlos	Brown	11.318.557-k
Isidora	Smith	18.173.925-8
Antonella	Tapia	19.050.980-k
Valentina	Sanhueza	17.219.496-6
Mia	Gutierrez	7.539.963-4
Arthur	Fernandez	14.510.058-5
Antonella	Rodriguez	8.514.285-2
Emma	Rivera	15.480.243-6
Cristobal	Ortiz	20.473.813-k
William	Ortega	6.069.899-6
Kamila	Caceres	16.767.299-k
Kamila	Godoy	13.621.377-6
Sara	Moreno	7.072.103-1
Tomas	Aravena	20.282.250-9
James	Farias	14.636.306-7
Agustin	Castro	19.797.467-2
Fernanda	Martin	9.799.103-k
David	Medina	9.564.981-5
Matias	Wilson	12.650.332-6
Ximena	Martin	10.681.089-3
Isabella	Silva	7.045.551-k
Daniel	Salinas	20.354.900-8
Maite	Donoso	16.373.138-k
Antonella	Lagos	15.569.553-6
Bruno	Vasquez	7.566.123-1
Agustin	Morales	5.858.498-3
Luz	Molina	6.599.210-8
Maria	Torres	14.013.825-8
Patricia	Wilson	16.732.876-8
Maria	Reyes	12.338.307-9
Giovanna	Saavedra	14.686.713-8
Benjamin	Molina	5.137.676-5
Lucia	Jara	12.610.033-7
Bruno	Morales	18.318.380-k
Maria Jose	Vasquez	13.190.056-2
Lily	Guzman	13.133.219-k
Nicole	Navarrete	21.943.165-1
Jennifer	Gutierrez	13.292.783-9
Gabriel	Alvarado	6.527.378-k
Micaela	Salinas	13.252.441-6
Sebastian	Moreno	18.458.775-k
Hannah	Rojas	17.330.704-7
Tomas	Hernandez	5.842.359-9
Bernardo	Alvarado	21.143.115-6
Vicente	Jones	21.474.285-3
Valeria	Smith	12.697.145-1
Chloe	Aravena	14.360.338-5
Carlos	Smith	14.272.706-4
Andres Felipe	Espinoza	9.467.480-8
Emma	Escobar	6.854.307-k
Agustin	Vargas	11.583.520-3
Adrian	Maldonado	18.587.636-5
Valentina	Ramirez	15.363.127-1
Micaela	Paredes	17.138.612-8
Juan David	Patel	15.617.215-4
Amanda	Pizarro	11.267.643-k
Daniel	Pino	5.326.577-4
Lucas	Moreno	17.486.423-3
Ximena	Bustos	21.302.384-5
Rafael	Salazar	10.506.471-3
Margaret	Alarcon	21.117.955-4
Lautaro	Brown	17.401.445-k
Luis	Garrido	5.345.020-2
Juan	Williams	8.152.407-6
Milagros	Miranda	11.470.793-7
Antonella	Cardenas	13.546.298-5
Renata	Ortiz	18.935.884-9
Richard	Vidal	8.446.469-4
Alma	Wong	12.758.434-6
Adrian	Carvajal	21.883.680-1
Nicole	Poblete	11.708.555-4
Martin	Godoy	19.036.256-6
Maria	Sepulveda	7.284.290-1
Robert	Hernandez	20.315.441-k
Emiliano	Campos	9.447.638-k
Charles	Gallardo	7.906.286-3
Regina	Sepulveda	17.874.613-8
Camila	Venegas	19.642.083-5
Juan Jose	Vidal	8.897.011-k
Robert	Alvarado	10.037.444-7
Renata	Castillo	16.967.554-6
Laura	Wilson	13.951.443-2
Santiago	Navarro	16.695.610-2
Ava	Venegas	16.228.574-2
Sofia	Aravena	14.516.273-4
Samuel	Ruiz	10.279.189-4
Manuela	Vargas	21.019.998-5
Luz	Sanhueza	13.674.488-7
Francisco	Valenzuela	7.024.056-4
Valeria	Moreno	14.672.800-6
Martin	Sanchez	11.243.095-4
Olivia	Vergara	7.859.965-k
Luciana	Carvajal	14.541.234-k
Fernanda	Donoso	21.366.369-k
Luz	Torres	13.250.503-9
Hannah	Gomez	19.309.377-9
Antonella	Salazar	10.563.019-k
Nicole	Williams	7.787.934-k
Gabriel	Bravo	10.547.627-2
Mia	Vergara	19.426.772-k
Rafael	Wilson	7.866.150-k
Jose	Espinoza	11.485.911-7
Jose	Moreno	20.017.378-3
Lucas	Sanchez	17.298.815-6
Diego Alejandro	Wilson	20.849.797-9
Agustin	Perez	9.641.695-4
John	Ortiz	19.945.037-9
Iker	Gutierrez	10.535.629-3
Diego Alejandro	Medina	20.073.339-8
Lily	Gallardo	20.022.594-5
Jennifer	Soto	12.316.322-2
Maite	Figueroa	21.598.576-8
Emma	Contreras	11.352.528-2
Alice	Soto	9.245.530-k
Maximiliano	Palma	5.458.359-1
Michael	Diaz	14.480.479-1
Fernanda	Jones	17.936.423-9
Thomas	Torres	15.311.805-1
Julia	Lopez	17.339.768-2
Zoe	Espinoza	8.220.068-1
Valentina	Lee	11.709.024-8
Camila	Salinas	6.868.921-k
Sara	Vidal	21.565.880-5
Santino	Ruiz	14.462.483-1
Jacob	Herrera	10.900.623-8
Joaquin	Martinez	19.299.582-5
Isidora	Leiva	19.787.535-6
Daniel	Campos	8.958.031-5
Sofia	Martin	6.979.505-6
Ava	Vargas	17.745.079-k
Micaela	Campos	15.965.700-k
Miguel	Campbell	20.893.481-3
Victoria	Rojas	18.186.622-5
Romina	Vidal	20.560.563-k
Robert	Campbell	18.763.198-k
Fernanda	Escobar	6.224.786-k
Isidora	Alvarez	7.795.499-6
Carlos	Martinez	12.778.477-9
Rodrigo	Navarrete	18.878.412-7
Beatriz	Campbell	18.350.897-k
Ian	Palma	15.395.798-3
Alondra	Wilson	19.536.701-9
Joseph	Fernandez	16.911.176-6
Sophie	Toro	17.198.561-7
Patricia	Perez	12.073.333-8
Sofia	Orellana	21.834.413-5
Olivia	Perez	8.778.431-2
Thomas	Garcia	8.447.855-5
Valentina	Jara	6.983.907-k
Victoria	Castillo	13.364.982-4
Matias	Herrera	9.488.932-4
Lautaro	Garcia	8.945.262-7
Jesus	Lee	20.403.592-k
Rodrigo	Wilson	13.822.694-8
Ian	Lagos	6.851.616-1
Cristobal	Campbell	19.113.328-5
Alondra	Donoso	21.631.720-3
Lily	Vidal	6.658.991-9
Dylan	Alarcon	17.885.249-3
Alondra	Castillo	9.094.794-k
Ariana	Patel	13.162.794-7
Leonardo	Taylor	12.518.190-2
Milagros	Castro	17.212.372-4
Jesus	Castillo	12.437.255-k
Victoria	Reyes	6.948.411-5
Emilia	Fernandez	15.909.492-8
Charles	Taylor	9.576.600-5
Beatriz	Jones	6.146.853-6
Maite	Taylor	10.850.756-k
Luis	Alvarez	19.916.317-5
Dylan	Morales	8.728.052-7
Angel	Vera	10.642.666-k
Mia	Rodriguez	7.128.406-9
Juan Andres	Campos	11.375.891-k
Gabriela	Diaz	12.311.953-3
Lucas	Paredes	6.739.814-9
Pedro	Thompson	10.124.032-k
Joaquin	Martinez	10.042.834-2
Juan Andres	Lee	8.116.040-6
Leonardo	Fuentes	16.009.423-k
Alexandra	Valdes	21.583.043-8
Mary	Lopez	8.329.063-3
Mary	Salazar	20.807.303-6
Andres Felipe	Farias	14.097.289-4
Juan Andres	Bustos	20.844.649-5
Micaela	Caceres	21.940.703-3
Samuel	Pino	10.625.689-6
Chloe	Toro	6.761.932-3
John	Navarrete	21.102.648-k
Adrian	Herrera	6.100.486-6
Maria	Navarrete	14.082.077-6
Alexandra	Campbell	5.208.874-7
Mateo	Thompson	6.198.418-6
Carlos	Vega	20.296.037-5
Felipe	Jara	16.610.556-k
Mateo	Flores	11.202.070-5
James	Poblete	12.964.639-k
Iker	Cardenas	11.656.692-3
Daniela	Herrera	17.886.337-1
Alejandro	San Martin	13.768.953-7
Mia	Riquelme	16.078.250-1
Francisco	Aravena	17.494.262-5
Charles	Guerrero	11.953.658-8
Diego Alejandro	Rivera	9.994.713-6
Bernardo	Godoy	18.174.381-6
Zoe	Lopez	10.522.234-3
Dylan	Sepulveda	17.105.751-5
Maximiliano	Tapia	19.904.410-9
Agustin	Palma	15.196.372-2
Martina	Carvajal	15.451.391-4
Charles	Thompson	20.318.966-4
Zoe	Medina	12.800.839-k
Joseph	Lagos	5.462.882-k
Maria	Garcia	11.481.881-k
Jesus	Castillo	16.908.138-7
Valentina	Saez	5.668.412-3
Victoria	Farias	14.374.259-8
Sophie	Ramirez	12.679.174-7
Samantha	Vasquez	13.800.531-3
Margaret	Campbell	8.581.836-8
Tomas	Ortiz	6.149.538-k
Fernanda	Patel	9.996.061-2
Adrian	Bustamante	7.220.642-8
Sebastian	Thompson	6.402.103-6
Alejandro	Contreras	15.963.668-2
Maria	Wilson	19.183.304-k
James	Saez	13.241.326-6
Tomas	Bravo	8.665.930-1
Mary	Pino	8.649.029-3
Jose	Caceres	8.147.410-9
Angel	Carvajal	14.537.878-8
Lily	Farias	19.619.093-7
Emilia	Aravena	10.103.908-k
James	Lagos	7.692.956-4
Diego Alejandro	Bustos	21.475.383-9
Lily	Thompson	20.285.502-4
Renata	Venegas	21.351.898-4
Haley	Caceres	15.831.002-3
Vicente	Flores	21.390.356-k
Daniel Alejandro	Gomez	10.646.663-7
Alexander	Moreno	5.949.764-2
Andrea	Vera	8.616.618-6
Emily	Gutierrez	19.624.277-5
Matias	Aravena	12.532.573-4
Maite	San Martin	12.907.531-7
Juan	Romero	5.223.834-k
Arthur	Alarcon	18.306.010-4
Joaquin	Vasquez	19.563.174-3
Julia	Olivares	7.796.841-5
Nicolas	Escobar	13.329.836-3
Fernanda	Sepulveda	10.249.717-1
Santiago	Cortes	5.376.789-3
Martin	Parra	18.692.709-5
Sofia	Vega	12.295.642-3
Andres Felipe	Palma	13.452.899-k
Maximiliano	Gutierrez	18.438.045-5
Alexander	Vidal	7.409.172-5
Ana Paula	Rodriguez	20.426.734-k
Francisco	Brown	10.214.724-3
Sofia	Wilson	14.192.102-9
Manuela	Vasquez	12.854.997-8
Susan	Sepulveda	21.681.758-3
Joaquin	Rivera	11.927.863-5
Sophie	Salinas	8.670.903-1
Emma	Orellana	18.809.773-1
Ian	Sanchez	21.403.785-8
Diego Alejandro	Guerrero	8.184.886-6
Agustin	Bustamante	12.776.754-8
Isabella	Palma	9.086.965-5
John	Williams	17.540.583-6
Alexandra	Campos	15.936.070-9
Alondra	Wilson	18.997.260-1
Diego	Martinez	10.657.727-7
Robert	Lagos	5.991.733-1
Margaret	Martinez	15.214.423-7
Maria	Leiva	7.860.228-7
Santiago	Perez	21.004.266-k
Sophia	Williams	16.174.387-9
Mateo	Jones	9.725.618-7
Olivia	Guerrero	16.482.099-8
Barbara	Rojas	11.489.591-1
Juan Andres	Alarcon	11.765.812-k
Victoria	Taylor	10.936.955-1
Hannah	Martinez	15.594.395-5
Luis	Soto	17.865.872-7
Agustina	Alvarado	16.409.958-k
Juan David	Riquelme	9.044.652-5
Lily	Lagos	10.520.383-7
William	Miranda	14.368.544-6
Catalina	Campos	10.657.263-1
Sophie	Figueroa	10.575.386-1
Daniela	Rojas	16.450.856-k
Arthur	Morales	20.219.715-9
Juan	Hernandez	15.829.322-6
Alejandro	Maldonado	8.441.679-7
Milagros	Araya	16.321.434-2
Mary	Bustos	17.674.043-4
Victoria	Vega	5.806.711-3
Juan Andres	Castillo	9.254.192-4
Hannah	Rojas	15.893.284-9
Juan David	Miranda	6.636.028-8
Angel	Parra	5.067.107-k
Micaela	Gutierrez	8.115.382-5
Cristobal	Silva	8.589.034-4
Valeria	Fuentes	7.228.792-4
Maximiliano	Perez	20.507.705-7
Robert	Toro	20.367.571-2
Emilia	Smith	8.916.372-2
John	Orellana	6.997.405-8
Linda	Pizarro	12.817.226-2
Angel	Patel	8.581.501-6
Regina	Martinez	18.083.723-k
Vicente	Guerrero	9.189.989-2
Jacob	Saavedra	6.562.781-7
Sofia	Maldonado	11.772.591-k
Nicole	Guzman	13.787.777-5
Samuel	Farias	10.467.135-7
Richard	Gallardo	12.635.679-k
Carlos	Valenzuela	12.738.817-2
Juan	Patel	14.957.727-k
Ximena	Vasquez	17.196.695-7
Rodrigo	Morales	21.797.462-3
Felipe	Ortiz	17.931.327-8
Susan	Herrera	5.245.941-9
Gabriela	Pizarro	5.144.690-9
Thomas	Escobar	14.346.803-8
Gabriel	Taylor	14.105.925-4
Adrian	Wilson	8.648.478-1
Sophia	Brown	10.577.910-k
Jennifer	Carvajal	11.065.477-4
Robert	Bustos	9.420.182-9
Renata	Navarro	10.576.152-k
Rodrigo	Araya	6.901.831-9
Mary	Campos	16.175.053-k
Amanda	Farias	13.665.148-k
Victoria	Bustos	7.218.512-9
Nicole	Ramirez	9.953.596-2
Milagros	Cardenas	20.079.017-k
Maria	Hernandez	6.440.328-1
Milagros	Guerrero	14.125.020-5
Pedro	Bravo	7.655.840-k
Ana Paula	Olivares	21.801.178-k
Jesus	Navarrete	20.830.748-7
Bernardo	Herrera	15.998.867-8
Tomas	Godoy	10.717.468-k
Matias	Saavedra	18.167.614-k
Samantha	Maldonado	12.269.250-7
Elizabeth	Perez	14.989.109-9
Santiago	Aravena	16.396.265-9
Jennifer	Aguilera	17.993.018-8
